"article_id","source","target","relation_type","pattern","evidence"
"1","resource heterogeneity","sustained competitive advantage","pos_assoc","F","resource heterogeneity is a necessary condition for competitive advantage"
"1","causal ambiguity","inimitability","pos_assoc","B","inimitability of strategic resources is a function of ... causal ambiguity"
"1","path dependence","inimitability","pos_assoc","B","inimitability of strategic resources is a function of ... path dependence"
"1","social complexity","inimitability","pos_assoc","B","inimitability of strategic resources is a function of ... social complexity"
"2","intangible resources","firm performance","pos_assoc","E","intangible resources have a positive and significant effect on return on assets"
"2","causal ambiguity","intangible resources -> firm performance","moderates","A","causal ambiguity moderates the relationship between intangible resources and firm performance"
"2","organizational reputation","human capital intensity -> firm performance","mediates","A","organizational reputation mediates the relationship between human capital intensity and firm performance"
"2","intangible resources","sustained competitive advantage","pos_assoc","B","intangible resources generate sustained competitive advantage"
"3","dynamic capabilities","sustained competitive advantage","pos_assoc","F","sustained competitive advantage requires ... the dynamic capabilities to renew those resources"
"3","environmental volatility","dynamic capabilities -> firm performance","moderates","A","environmental volatility moderates the effect of dynamic capabilities on firm performance"
"3","dynamic capabilities","firm performance","pos_assoc","D","effect of dynamic capabilities on firm performance"
"4","absorptive capacity","innovation performance","pos_assoc","E","positive and significant overall effect (mean r = .34)"
"4","R&D intensity","absorptive capacity -> innovation","mediates","A","R&D intensity mediates a substantial portion of the absorptive capacity-innovation relationship"
"4","absorptive capacity","innovation performance","pos_assoc","F","absorptive capacity is the principal antecedent of innovation performance"
"5","alliance capability","relational capital","pos_assoc","F","alliance capability is the antecedent of relational capital"
"5","relational capital","alliance performance","pos_assoc","F","relational capital is the proximal driver of alliance performance"
"5","relational capital","alliance capability -> alliance performance","mediates","A","relational capital fully mediates the effect of alliance capability on alliance performance"
"5","trust","relational capital -> alliance performance","moderates","A","trust ... moderates the relationship between relational capital and alliance performance"
"5","prior alliance experience","alliance capability","pos_assoc","F","prior alliance experience is a key antecedent of alliance capability"
"6","IT capabilities","organizational learning","pos_assoc","F","IT capabilities as antecedents of organizational learning"
"6","IT-enabled intangibles","organizational learning","pos_assoc","F","IT-enabled intangibles are a strong driver of organizational learning"
"6","organizational learning","IT capabilities -> firm performance","mediates","A","organizational learning mediates the effect of IT capabilities on firm performance"
"6","environmental dynamism","IT capabilities -> organizational learning","moderates","A","industry environmental dynamism moderates the IT capabilities-organizational learning relationship"
"7","R&D intensity","radical innovation","pos_assoc","E","R&D intensity is positively associated with radical innovation output"
"7","absorptive capacity","R&D intensity -> radical innovation","mediates","A","absorptive capacity mediates a substantial portion of this effect"
"7","external knowledge sourcing","absorptive capacity -> radical innovation","moderates","A","external knowledge sourcing intensity moderates the relationship between absorptive capacity and radical innovation"
"7","absorptive capacity","radical innovation","pos_assoc","D","positive effect of absorptive capacity on radical innovation"
"8","managerial cognitive diversity","dynamic capabilities","pos_assoc","F","managerial cognitive diversity is the key antecedent of sensing, seizing, and reconfiguring capabilities"
"8","managerial cognitive diversity","dynamic capabilities","pos_assoc","F","top management team cognitive diversity is a necessary precursor of dynamic capabilities"
"8","dynamic capabilities","cognitive diversity -> strategic renewal","mediates","A","dynamic capabilities mediate the effect of cognitive diversity on strategic renewal outcomes"
"8","environmental complexity","cognitive diversity -> dynamic capabilities","moderates","A","environmental complexity moderates the relationship between cognitive diversity and dynamic capabilities"
"8","managerial cognitive diversity","dynamic capabilities","pos_assoc","B","drives the development of dynamic capabilities at the firm level"
"9","resource leveraging","competitive advantage","pos_assoc","F","resource leveraging emerges as a key driver of competitive advantage"
"9","resource bundling","superior performance","pos_assoc","F","resource bundling is a necessary condition in two of the three configurations"
"9","resource orchestration","firm performance","pos_assoc","D","tests its effect on firm performance"
"10","linkage ambiguity","imitation","neg_assoc","F","linkage ambiguity is the principal barrier to imitation by rivals"
"10","characteristic ambiguity","internal coordination failures","pos_assoc","F","characteristic ambiguity is a precursor of internal coordination failures"
"10","causal ambiguity","sustained competitive advantage","assoc","D","relationship between causal ambiguity and sustained competitive advantage is non-monotonic"
"11","human capital","innovation performance","pos_assoc","E","human capital has a positive effect on innovation performance"
"11","structural capital","innovation performance","pos_assoc","E","structural capital has a positive effect on innovation performance"
"11","relational capital","innovation performance","pos_assoc","E","relational capital has a positive but smaller effect"
"11","innovation performance","intellectual capital -> firm growth","mediates","A","innovation performance fully mediates the effect of intellectual capital on firm growth"
"11","firm age","structural capital -> innovation","moderates","A","firm age moderates the relationship between structural capital and innovation"
"11","intellectual capital","firm growth","pos_assoc","F","intellectual capital is a strategic resource"
"12","alliance portfolio diversity","firm innovation","pos_assoc","D","examines the effect of alliance portfolio diversity on firm innovation"
"12","alliance portfolio diversity","firm innovation","pos_assoc","E","alliance portfolio diversity has a positive effect on firm innovation"
"12","knowledge recombination","alliance portfolio diversity -> innovation","mediates","A","knowledge recombination mediates this relationship"
"12","absorptive capacity","alliance portfolio diversity -> knowledge recombination","moderates","A","absorptive capacity moderates the relationship between alliance portfolio diversity and knowledge recombination"
"12","knowledge recombination","innovation","pos_assoc","B","novel recombinations that drive innovation"
"13","social capital","dynamic capabilities","pos_assoc","F","social capital as an antecedent of dynamic capabilities"
"13","social capital","dynamic capabilities","pos_assoc","B","social capital ... drives the development of sensing, seizing, and reconfiguring capabilities"
"13","social capital","dynamic capabilities","pos_assoc","E","all three dimensions of social capital are positively associated with dynamic capabilities"
"13","institutional voids","social capital -> dynamic capabilities","moderates","A","institutional voids ... moderate the social capital-dynamic capabilities relationship"
"13","dynamic capabilities","social capital -> firm performance","mediates","A","dynamic capabilities mediate the effect of social capital on firm performance"
"14","path dependence","capability accumulation","pos_assoc","B","path-dependent processes shape the accumulation of technological capabilities"
"14","early strategic decisions","capability development","neg_assoc","B","early strategic decisions ... constrained subsequent capability development"
"14","path dependence","sustained competitive advantage","assoc","F","path dependence ... as a multidimensional construct with distinct positive and negative consequences"
"15","pollution prevention","sustainable competitive advantage","pos_assoc","E","all three environmental capabilities have positive effects on sustainable competitive advantage"
"15","product stewardship","sustainable competitive advantage","pos_assoc","E","all three environmental capabilities have positive effects on sustainable competitive advantage"
"15","clean technology","sustainable competitive advantage","pos_assoc","E","all three environmental capabilities have positive effects on sustainable competitive advantage"
"15","stakeholder pressure","pollution prevention -> sustainable competitive advantage","moderates","A","effect of pollution prevention capability on sustainable competitive advantage is amplified under high stakeholder pressure"
"15","stakeholder integration","product stewardship -> sustainable competitive advantage","mediates","A","stakeholder integration mediates the relationship between product stewardship capability and sustainable competitive advantage"
"15","regulatory stringency","environmental capabilities","pos_assoc","F","regulatory stringency is a key antecedent of all three environmental capabilities"
"16","managerial cognitive diversity","firm performance","pos_assoc","F","managerial cognitive diversity is a critical antecedent of firm performance under the boundary conditions identified."
"16","operational capabilities","first-order capabilities -> organisational adaptation","mediates","A","operational capabilities partially mediate the effect of first-order capabilities on organisational adaptation."
"16","environmental dynamism","transforming capability -> sustainable competitive advantage","moderates","A","environmental dynamism positively moderates the effect of transforming capability on sustainable competitive advantage."
"16","operational capabilities","seizing capability -> organisational adaptation","mediates","A","operational capabilities mediate the effect of seizing capability on organisational adaptation."
"16","operational capabilities","managerial cognitive diversity -> firm performance","mediates","A","operational capabilities serve as a mediator of the relationship between managerial cognitive diversity and firm performance."
"17","stakeholder integration","clean technology capability -> stakeholder legitimacy","mediates","A","The mediation analysis shows that stakeholder integration carries the principal portion of the effect of clean technology capability on stakeholder legitimacy."
"17","clean technology capability","stakeholder legitimacy","pos_assoc","F","stakeholder legitimacy is the principal outcome of clean technology capability."
"17","green innovation capability","sustainability performance","pos_assoc","E","green innovation capability exhibits a positive effect on sustainability performance."
"18","stakeholder integration","legitimacy","pos_assoc","B","stakeholder integration enhances legitimacy."
"18","media attention","stakeholder integration -> legitimacy","moderates","A","media attention moderates the relationship between stakeholder integration and legitimacy."
"18","board diversity","stakeholder relationships","pos_assoc","F","board diversity is a key determinant of stakeholder relationships."
"18","ESG capabilities","trust","pos_assoc","B","ESG capabilities significantly enhance trust across the sample."
"19","relational social capital","collaborative behaviour","pos_assoc","B","relational social capital significantly enhances collaborative behaviour across the sample."
"19","network density","knowledge access","pos_assoc","B","network density significantly enhances knowledge access across the sample."
"19","network centrality","knowledge transfer","pos_assoc","D","The results identify the impact of network centrality on knowledge transfer both in isolation and in combination with other strategic resources."
"19","network density","knowledge access","pos_assoc","C","knowledge access is determined by network density."
"19","knowledge transfer","network centrality -> firm performance","mediates","A","knowledge transfer mediates the effect of network centrality on firm performance."
"19","network density","knowledge access","pos_assoc","F","network density is the proximal antecedent of knowledge access."
"19","network embeddedness","opportunity recognition","pos_assoc","E","network embeddedness is positively associated with opportunity recognition."
"20","scientific collaboration","patent productivity","pos_assoc","E","scientific collaboration has a positive and significant effect on patent productivity."
"20","knowledge complexity","knowledge acquisition -> incremental innovation","moderates","A","knowledge complexity attenuates the effect of knowledge acquisition on incremental innovation."
"21","seizing capability","firm performance","pos_assoc","F","seizing capability is a precursor of firm performance."
"21","strategic flexibility","first-order capabilities -> sustainable competitive advantage","mediates","A","strategic flexibility mediates the effect of first-order capabilities on sustainable competitive advantage."
"21","managerial cognitive diversity","strategic flexibility","pos_assoc","F","managerial cognitive diversity is a critical antecedent of strategic flexibility under the boundary conditions identified."
"21","asset orchestration","sustained competitive advantage","neg_assoc","B","asset orchestration reduces sustained competitive advantage."
"22","organisational capital","innovation performance","pos_assoc","B","organisational capital significantly enhances innovation performance across the sample."
"22","industry life-cycle stage","structural capital -> firm value","moderates","A","industry life-cycle stage moderates the effect of structural capital on firm value."
"22","structural capital","firm value","pos_assoc","F","structural capital is the proximal antecedent of firm value."
"22","organisational capital","intellectual capital integration","pos_assoc","F","intellectual capital integration is an outcome of organisational capital."
"22","structural capital","firm value","pos_assoc","D","The analysis quantifies the contribution of structural capital to firm value across the full panel and within key sub-samples."
"22","structural capital","firm value","pos_assoc","E","structural capital has a significant positive effect on firm value."
"23","absorptive capacity","new product development","pos_assoc","F","absorptive capacity is a key precursor of new product development."
"23","knowledge tacitness","knowledge transformation -> patent productivity","moderates","A","knowledge tacitness acts as a contingency on the knowledge transformation-patent productivity relationship."
"24","network resources","alliance performance","pos_assoc","B","network resources influence alliance performance."
"24","alliance portfolio size","alliance performance","pos_assoc","B","alliance portfolio size consistently shapes alliance performance across the sub-samples examined."
"25","governance form","relational capital -> alliance success","moderates","A","governance form moderates the effect of relational capital on alliance success."
"25","alliance management capability","alliance performance","pos_assoc","E","alliance management capability exhibits a positive effect on alliance performance."
"25","prior alliance experience","firm performance","pos_assoc","B","prior alliance experience drives firm performance through a combination of direct and indirect mechanisms."
"26","structural ambidexterity","long-term survival","pos_assoc","F","structural ambidexterity is a critical determinant of long-term survival."
"26","organisational learning","exploration -> long-term survival","mediates","A","The results indicate that organisational learning mediates the relationship between exploration and long-term survival."
"26","structural ambidexterity","long-term survival","pos_assoc","D","The results clarify the role of structural ambidexterity in shaping long-term survival."
"26","structural ambidexterity","long-term survival","pos_assoc","E","structural ambidexterity is significantly positively associated with long-term survival."
"26","organisational ambidexterity","firm performance","pos_assoc","E","organisational ambidexterity shows a strong positive relationship with firm performance."
"27","stakeholder pressure","financial performance","pos_assoc","F","stakeholder pressure is a strong predictor of financial performance."
"27","pollution prevention capability","sustainability performance","pos_assoc","F","pollution prevention capability is a critical antecedent of sustainability performance under the boundary conditions identified."
"27","regulatory stringency","green absorptive capacity","pos_assoc","B","regulatory stringency improves green absorptive capacity."
"28","knowledge resources","knowledge application","neg_assoc","B","knowledge resources weaken knowledge application."
"28","knowledge transfer mechanisms","innovation outcomes","pos_assoc","E","knowledge transfer mechanisms show a positive relationship with innovation outcomes."
"28","appropriability regime","knowledge transfer mechanisms -> innovation outcomes","moderates","A","appropriability regime moderates the effect of knowledge transfer mechanisms on innovation outcomes."
"29","IT infrastructure capability","business process agility","pos_assoc","B","IT infrastructure capability accelerates business process agility."
"29","digital capabilities","innovation performance","pos_assoc","E","digital capabilities exhibit a robustly positive effect on innovation performance that survives a battery of robustness checks."
"29","IT capabilities","digital transformation outcomes","pos_assoc","B","IT capabilities predict digital transformation outcomes."
"29","IT capabilities","digital transformation outcomes","pos_assoc","F","digital transformation outcomes are the principal outcomes of IT capabilities."
"29","business process agility","IT business alignment -> business process agility","mediates","A","The mediation analysis shows that business process agility carries the principal portion of the effect of IT business alignment on business process agility."
"29","IT investment","firm performance","pos_assoc","D","The estimates capture the relationship between IT investment and firm performance."
"29","IT human resources capability","process innovation","pos_assoc","B","IT human resources capability influences process innovation."
"29","IT capabilities","digital transformation outcomes","pos_assoc","E","IT capabilities have a positive and economically meaningful effect on digital transformation outcomes across all specifications."
"30","organisational ambidexterity","long-term survival","pos_assoc","B","organisational ambidexterity increases long-term survival."
"30","sequential ambidexterity","innovation performance","pos_assoc","B","sequential ambidexterity facilitates innovation performance."
"30","organisational design","long-term survival","pos_assoc","B","organisational design stimulates long-term survival."
"30","exploration","long-term survival","pos_assoc","B","exploration increases long-term survival."
"31","rare resources","sustainable competitive advantage","pos_assoc","B","rare resources substantially improve sustainable competitive advantage under the conditions specified."
"31","managerial foresight","rent appropriation","pos_assoc","B","managerial foresight substantially improves rent appropriation under the conditions specified."
"31","resource configuration","managerial foresight -> rent appropriation","mediates","A","resource configuration mediates the effect of managerial foresight on rent appropriation."
"32","seizing capability","strategic flexibility","pos_assoc","B","seizing capability enhances strategic flexibility."
"33","product stewardship capability","stakeholder legitimacy","pos_assoc","F","product stewardship capability is a determinant of stakeholder legitimacy."
"33","product stewardship capability","stakeholder legitimacy","pos_assoc","E","product stewardship capability shows a strong positive relationship with stakeholder legitimacy."
"33","industry pollution intensity","sustainability capabilities -> environmental performance","moderates","A","industry pollution intensity acts as a contingency on the sustainability capabilities-environmental performance relationship."
"33","green absorptive capacity","product stewardship capability -> stakeholder legitimacy","mediates","A","green absorptive capacity serves as a mediator of the relationship between product stewardship capability and stakeholder legitimacy."
"33","industry pollution intensity","product stewardship capability -> stakeholder legitimacy","moderates","A","The product stewardship capability-stakeholder legitimacy relationship is moderated by industry pollution intensity."
"33","stakeholder demands","stakeholder integration","pos_assoc","B","stakeholder demands robustly drive stakeholder integration after controls for firm and industry characteristics."
"33","industry pollution intensity","environmental management capability -> environmental innovation","moderates","A","industry pollution intensity positively moderates the effect of environmental management capability on environmental innovation."
"34","clean technology capability","stakeholder integration","pos_assoc","E","clean technology capability has a significant positive effect on stakeholder integration."
"34","clean technology capability","sustainable competitive advantage","neg_assoc","B","clean technology capability reduces sustainable competitive advantage when contextual conditions are unfavourable."
"35","big data analytics capability","agility","neg_assoc","E","big data analytics capability is negatively associated with agility in the focal sample, contrary to standard predictions."
"35","competitive intensity","data analytics capabilities -> organisational learning","moderates","A","competitive intensity moderates the effect of data analytics capabilities on organisational learning."
"35","competitive intensity","big data analytics capability -> agility","moderates","A","competitive intensity acts as a contingency on the big data analytics capability-agility relationship."
"36","digital strategy","innovation performance","pos_assoc","C","innovation performance is determined by digital strategy."
"36","IT infrastructure capability","firm performance","pos_assoc","F","IT infrastructure capability is a determinant of firm performance."
"36","digital strategy","process innovation","pos_assoc","D","The findings document the influence of digital strategy on process innovation."
"36","data analytics capabilities","business process agility","pos_assoc","D","The findings highlight the association between data analytics capabilities and business process agility."
"36","IT infrastructure capability","innovation performance","pos_assoc","B","IT infrastructure capability stimulates innovation performance."
"37","asset orchestration","strategic flexibility","pos_assoc","F","asset orchestration is the principal driver of strategic flexibility."
"37","top management team experience","sustained competitive advantage","pos_assoc","E","top management team experience is positively associated with sustained competitive advantage."
"38","R&D investment","long-term competitiveness","pos_assoc","F","R&D investment is a strong predictor of long-term competitiveness."
"38","market uncertainty","innovation capability -> new product success","moderates","A","market uncertainty conditions the effect of innovation capability on new product success, with the relationship stronger under high market uncertainty."
"38","innovativeness","absorptive capacity","pos_assoc","F","innovativeness is a critical antecedent of absorptive capacity under the boundary conditions identified."
"38","innovation capability","new product success","neg_assoc","B","innovation capability reduces new product success when contextual conditions are unfavourable."
