"article_id","year","journal","title","authors","method","sub_territory","abstract"
"1","1994","Strategic Management Journal","Resource heterogeneity and the foundations of sustained competitive advantage","Halverson, T., & Mendez, R.","Conceptual","pilot_hand_written","This paper develops a theoretical framework that locates the foundations of sustained competitive advantage in the heterogeneous distribution of firm resources. We argue that resource heterogeneity is a necessary condition for competitive advantage and that the persistence of advantage requires resources that are valuable, rare, imperfectly imitable, and non-substitutable. Drawing on the strategic factor markets literature, we propose that the inimitability of strategic resources is a function of three isolating mechanisms: causal ambiguity, path dependence, and social complexity. The paper offers a typology of resource categories and discusses the boundary conditions under which the framework applies. Implications for empirical research on firm performance heterogeneity are discussed, and we identify open questions concerning the microfoundations of resource accumulation."
"2","2001","Academy of Management Journal","Intangible resources and firm performance: an empirical investigation of manufacturing firms","Acheson, M., Patel, S., & Klein, J.","Quantitative","pilot_hand_written","Using a panel of 312 publicly traded U.S. manufacturing firms over the period 1989-1998, this study examines the effect of intangible resources on firm performance. We measure intangible resources through three indicators: brand value, organizational reputation, and human capital intensity. The results indicate that intangible resources have a positive and significant effect on return on assets, with the effect attenuated for firms operating in highly competitive industries. Causal ambiguity moderates the relationship between intangible resources and firm performance such that the performance premium associated with intangibles is greatest when causal ambiguity is high. We also find that organizational reputation mediates the relationship between human capital intensity and firm performance. The findings support the resource-based prediction that intangible resources generate sustained competitive advantage and identify causal ambiguity as a key isolating mechanism."
"3","1998","Strategic Management Journal","Dynamic capabilities and the reconfiguration of resource bases in volatile environments","Hartwell, D., & Rasmussen, K.","Conceptual","pilot_hand_written","This paper extends the resource-based view by developing the construct of dynamic capabilities, which we define as the firm's ability to integrate, build, and reconfigure internal and external competences to address rapidly changing environments. We argue that in volatile markets sustained competitive advantage requires not only valuable resources but also the dynamic capabilities to renew those resources over time. Three components of dynamic capabilities are identified: sensing opportunities, seizing opportunities through resource commitment, and reconfiguring the resource base. The paper proposes that environmental volatility moderates the effect of dynamic capabilities on firm performance, with stronger effects observed in high-velocity industries. The conceptual framework is illustrated with examples from the semiconductor and pharmaceutical industries. Implications for strategy research and managerial practice are discussed."
"4","2014","Journal of Management Studies","Absorptive capacity and innovation performance: a meta-analytic review","Larsen, P., Tomic, M., & Bouchard, A.","Meta-analysis","pilot_hand_written","We synthesize 87 empirical studies (combined N = 23,418 firms) to estimate the relationship between absorptive capacity and innovation performance. The meta-analytic results show a positive and significant overall effect (mean r = .34, 95% CI [.30, .38]). Moderator analyses indicate that the effect is stronger for radical innovation outcomes than for incremental innovation outcomes, and stronger in high-technology industries than in low-technology industries. We further find that R&D intensity mediates a substantial portion of the absorptive capacity-innovation relationship, suggesting that absorptive capacity influences innovation in part through its effect on the firm's research and development investment. The findings reconcile previously contradictory empirical results by demonstrating that absorptive capacity is the principal antecedent of innovation performance under conditions of high environmental knowledge complexity. Implications for the dynamic capabilities literature and for the measurement of absorptive capacity in future empirical work are discussed."
"5","2008","Academy of Management Journal","Relational capital, alliance capability, and the performance of strategic alliances","Marchetti, S., & Olson, K.","Quantitative","pilot_hand_written","This study examines how relational capital and alliance capability jointly influence the performance of strategic alliances. Using survey data from 247 alliance dyads in the biotechnology industry, we test a mediation model in which alliance capability is the antecedent of relational capital, and relational capital is the proximal driver of alliance performance. The results support the proposed mediation: relational capital fully mediates the effect of alliance capability on alliance performance. Trust between partners moderates the relationship between relational capital and alliance performance such that the effect is amplified when trust is high. We also find that prior alliance experience is a key antecedent of alliance capability. The findings extend the resource-based view to the domain of inter-organizational relationships and identify two specific firm-level capabilities through which strategic alliances generate value."
"6","2012","Organization Science","IT capabilities, organizational learning, and firm performance","Schweiger, J., & Kim, R.","Quantitative","pilot_hand_written","We examine the role of IT capabilities as antecedents of organizational learning and the indirect effect of IT capabilities on firm performance. Using a sample of 189 large firms across multiple industries, we operationalize IT capabilities along three dimensions: IT infrastructure, IT human resources, and IT-enabled intangibles. The results show that IT-enabled intangibles are a strong driver of organizational learning, whereas IT infrastructure has only a weak direct effect. Organizational learning mediates the effect of IT capabilities on firm performance. Industry environmental dynamism moderates the IT capabilities-organizational learning relationship: the effect of IT capabilities on learning is significantly stronger in dynamic environments. The findings refine the dynamic capabilities perspective by identifying which IT capability components most strongly drive organizational adaptation and by clarifying the conditions under which IT investments translate into superior performance."
"7","2018","Research Policy","R&D intensity, absorptive capacity, and radical innovation: evidence from European manufacturing","Voigt, F., Hernandez, L., & Andersson, P.","Quantitative","pilot_hand_written","This paper examines how R&D intensity and absorptive capacity jointly determine the propensity of firms to introduce radical innovations. Using panel data from 1,452 European manufacturing firms over 2008-2015, we test a moderated-mediation model. The results indicate that R&D intensity is positively associated with radical innovation output. Absorptive capacity mediates a substantial portion of this effect, with the indirect effect through absorptive capacity accounting for approximately 38% of the total. The mediating role of absorptive capacity is stronger for firms operating in science-based sectors than for firms in supplier-dominated sectors. We further find that external knowledge sourcing intensity moderates the relationship between absorptive capacity and radical innovation: the positive effect of absorptive capacity on radical innovation is amplified when external knowledge sourcing is high. The findings carry implications for innovation policy targeted at strengthening firms' absorptive capacity."
"8","2020","Strategic Management Journal","Managerial cognition, microfoundations of dynamic capabilities, and strategic renewal","Steinmann, H., & Roussel, V.","Quantitative","pilot_hand_written","We develop and test a microfoundational account of dynamic capabilities in which managerial cognitive diversity is the key antecedent of sensing, seizing, and reconfiguring capabilities. Drawing on the upper-echelons literature and recent work on the microfoundations of strategy, we argue that top management team cognitive diversity is a necessary precursor of dynamic capabilities under conditions of environmental complexity. We test the model using survey and archival data from 274 firms across 18 industries. The results support the proposed framework: managerial cognitive diversity is positively associated with dynamic capabilities, dynamic capabilities mediate the effect of cognitive diversity on strategic renewal outcomes, and environmental complexity moderates the relationship between cognitive diversity and dynamic capabilities. The findings advance the microfoundations program by identifying a specific upper-echelon attribute that drives the development of dynamic capabilities at the firm level."
"9","2011","Journal of Management","Resource orchestration and firm performance: a configurational perspective","Choi, M., Reilly, D., & Yamamoto, A.","Mixed","pilot_hand_written","This paper develops the construct of resource orchestration, the managerial process of structuring, bundling, and leveraging firm resources to create competitive advantage, and tests its effect on firm performance. We use fuzzy-set qualitative comparative analysis (fsQCA) on data from 91 mid-sized manufacturing firms to identify configurations of resource orchestration practices associated with superior performance. The results identify three viable configurations, suggesting that no single orchestration pathway is necessary or sufficient. Across all three configurations, resource leveraging emerges as a key driver of competitive advantage. Resource bundling is a necessary condition in two of the three configurations. The findings extend the resource-based view by demonstrating that the relationship between resources and performance is shaped not only by resource attributes but also by the managerial practices through which resources are deployed."
"10","2002","Academy of Management Review","Causal ambiguity and the microfoundations of sustainable competitive advantage","Vogt, E., & Kaminski, R.","Conceptual","pilot_hand_written","We examine the construct of causal ambiguity as an isolating mechanism in the resource-based view. Distinguishing between linkage ambiguity (uncertainty about which resources contribute to performance) and characteristic ambiguity (uncertainty about how a resource generates value), we argue that the two forms of ambiguity have different implications for the sustainability of competitive advantage. Linkage ambiguity is the principal barrier to imitation by rivals, whereas characteristic ambiguity is a precursor of internal coordination failures within the focal firm itself. We propose that the relationship between causal ambiguity and sustained competitive advantage is non-monotonic: low ambiguity invites imitation, moderate ambiguity sustains advantage, and high ambiguity erodes the firm's own ability to deploy its resources effectively. The theoretical framework reconciles long-standing tensions in the causal ambiguity literature and identifies novel propositions for empirical research."
"11","2019","Journal of Business Research","Intellectual capital, innovation, and small-firm growth: evidence from the United Kingdom","Saluja, N., & Whitmore, T.","Quantitative","pilot_hand_written","Using survey data from 423 UK small and medium-sized enterprises, this study examines how three dimensions of intellectual capital, namely human capital, structural capital, and relational capital, influence innovation performance and subsequent firm growth. The results show that human capital has a positive effect on innovation performance, structural capital has a positive effect on innovation performance, and relational capital has a positive but smaller effect. Innovation performance fully mediates the effect of intellectual capital on firm growth. Firm age moderates the relationship between structural capital and innovation: structural capital is more important for older firms than for younger firms. The findings provide empirical support for the resource-based prediction that intellectual capital is a strategic resource and identify innovation performance as the proximate mechanism linking intellectual capital to growth."
"12","2013","Strategic Management Journal","Alliance portfolio diversity and firm innovation: the mediating role of knowledge recombination","Engelhardt, B., & Pereira, S.","Quantitative","pilot_hand_written","This paper examines the effect of alliance portfolio diversity on firm innovation through the mechanism of knowledge recombination. Drawing on the knowledge-based view of the firm, we propose that diverse alliance portfolios provide firms with access to heterogeneous knowledge inputs, which then enable novel recombinations that drive innovation. We test the model using patent data from 524 firms in the semiconductor industry over the period 2002-2012. The results show that alliance portfolio diversity has a positive effect on firm innovation, measured as the count of new-to-the-firm patent classes. Knowledge recombination mediates this relationship. Absorptive capacity moderates the relationship between alliance portfolio diversity and knowledge recombination: the recombination effect is amplified when absorptive capacity is high. We discuss the implications for alliance management and for the integration of the knowledge-based view with the resource-based view."
"13","2016","British Journal of Management","Social capital and dynamic capabilities in emerging-market firms","Kowalski, D., & Nassar, R.","Quantitative","pilot_hand_written","We investigate the role of social capital as an antecedent of dynamic capabilities in emerging-market firms. Using survey data from 198 firms in Brazil and Turkey, we test a model in which firm-level social capital, operationalized along structural, relational, and cognitive dimensions, drives the development of sensing, seizing, and reconfiguring capabilities. The results show that all three dimensions of social capital are positively associated with dynamic capabilities, with the relational dimension exhibiting the strongest effect. Institutional voids in the firm's environment moderate the social capital-dynamic capabilities relationship: the effect of social capital is strongest when institutional voids are pronounced. Dynamic capabilities mediate the effect of social capital on firm performance. The findings extend the dynamic capabilities literature to the emerging-market context and identify social capital as a context-specific antecedent of capability development."
"14","2009","Long Range Planning","Path dependence in capability accumulation: a comparative case study of two pharmaceutical firms","Buchholz, A., & Steiner, M.","Qualitative","pilot_hand_written","This paper presents a comparative case study of two large pharmaceutical firms over the period 1985-2007, examining how path-dependent processes shape the accumulation of technological capabilities. The case evidence indicates that early strategic decisions concerning therapeutic area focus established trajectories that constrained subsequent capability development for both firms. Path dependence in capability accumulation operated through three mechanisms: experiential learning effects, infrastructural commitments, and the cognitive frames of senior R&D managers. We find that path dependence produced both efficiencies and rigidities in the focal firms: efficiencies through deepening firm-specific expertise, rigidities through reduced responsiveness to scientific developments outside the established trajectory. The case findings inform a theoretical framework that treats path dependence not as a generic isolating mechanism but as a multidimensional construct with distinct positive and negative consequences for sustained competitive advantage."
"15","2022","Journal of Management Studies","Environmental capabilities, stakeholder pressures, and sustainable competitive advantage","Lefebvre, I., Wong, T., & Goldberg, M.","Quantitative","pilot_hand_written","Building on the natural-resource-based view, this study examines how environmental capabilities translate into sustainable competitive advantage in the presence of stakeholder pressures. Using a sample of 367 firms in carbon-intensive industries, we operationalize environmental capabilities along three dimensions: pollution prevention, product stewardship, and clean technology. The results indicate that all three environmental capabilities have positive effects on sustainable competitive advantage. Stakeholder pressure moderates these relationships: the effect of pollution prevention capability on sustainable competitive advantage is amplified under high stakeholder pressure, whereas the effect of clean technology capability is dampened. Stakeholder integration mediates the relationship between product stewardship capability and sustainable competitive advantage. We further find that regulatory stringency is a key antecedent of all three environmental capabilities. The findings refine the natural-resource-based view by specifying the conditions under which environmental capabilities yield competitive returns."
"16","2020","Organization Science","The role of managerial cognitive diversity in shaping firm performance","Castillo, T., Hartwell, K., Goldberg, M., & Rasmussen, B.","Quantitative","dynamic_capabilities","Drawing on the natural-resource-based view, this study examines the mechanisms through which managerial cognitive diversity influences firm performance. The argument draws on the dynamic capabilities literature and extends recent work on capability deployment. We use structural equation modelling on a sample of 89 European manufacturing firms. We also find that managerial cognitive diversity is a critical antecedent of firm performance under the boundary conditions identified. We find that operational capabilities partially mediate the effect of first-order capabilities on organisational adaptation. Environmental dynamism positively moderates the effect of transforming capability on sustainable competitive advantage. Operational capabilities mediate the effect of seizing capability on organisational adaptation. Operational capabilities serve as a mediator of the relationship between managerial cognitive diversity and firm performance. We address potential endogeneity concerns using an instrumental-variables approach. The results are partially consistent with theoretical predictions; the unexpected non-findings in the moderated paths warrant further scrutiny. The findings advance the dynamic capabilities programme by establishing the empirical relevance of managerial cognitive diversity."
"17","2020","Journal of Management Studies","Clean technology capability, stakeholder integration, and stakeholder legitimacy","Schultz, H., Nakamura, N., & Steinmann, C.","Mixed","natural_RBV","Building on the microfoundations of strategy, we examine the extent to which clean technology capability influences stakeholder legitimacy. We integrate natural-resource-based view with insights from the behavioural theory of the firm. We employ a mixed-method design combining survey data (754 firms) with 2 in-depth case studies. Importantly, stakeholder integration carries the principal portion of the effect of clean technology capability on stakeholder legitimacy. The findings indicate that stakeholder legitimacy is the principal outcome of clean technology capability. Green innovation capability exhibits a positive effect on sustainability performance. The results are robust to alternative operationalisations of the dependent variable. Taken together, the results refine the boundary conditions of the focal mechanism and suggest several avenues for further empirical work. The contribution is both theoretical and empirical: theoretical in extending the natural-resource-based view, empirical in providing the first large-sample test of the proposed mechanisms. Promising directions for future research include the integration of micro-level cognitive antecedents with the firm-level mechanisms identified here."
"18","2010","Strategic Management Journal","Reconfiguring stakeholder integration for legitimacy","Lindstrom, M.","Mixed","ESG_stakeholder_RBV","Building on the microfoundations of strategy, we examine the extent to which stakeholder integration influences legitimacy. The argument draws on the stakeholder strategy literature and extends recent work on capability deployment. We apply fuzzy-set qualitative comparative analysis to data from 211 firms. Consistent with the hypotheses, stakeholder integration enhances legitimacy. Media attention moderates the relationship between stakeholder integration and legitimacy. The empirical analysis shows that board diversity is a key determinant of stakeholder relationships. Consistent with the hypotheses, ESG capabilities significantly enhance trust across the sample. Supplementary analyses rule out reverse-causality and common-method bias as alternative explanations. Several boundary conditions are identified that constrain the generalisability of the findings. We identify open questions concerning the microfoundations of stakeholder integration and discuss avenues for future research. Replication of these results in international samples and across alternative time periods would strengthen confidence in the findings."
